"date","symbol","volume","adjusted"
2016-10-03,"SPY",83512100,197.021973
2016-10-04,"SPY",119948100,196.017563
2016-10-05,"SPY",72816000,196.885025
2016-10-06,"SPY",62927400,197.021973
2016-10-07,"SPY",89788300,196.346298
2016-10-10,"SPY",51855000,197.368912
2016-10-11,"SPY",130367400,194.876266
2016-10-12,"SPY",73866100,195.131927
2016-10-13,"SPY",101357000,194.492767
2016-10-14,"SPY",93346200,194.593216
2016-10-17,"SPY",58275700,193.917557
2016-10-18,"SPY",76869700,195.131927
2016-10-19,"SPY",66519200,195.652344
2016-10-20,"SPY",73639800,195.287125
2016-10-21,"SPY",89089100,195.378464
2016-10-24,"SPY",60146600,196.209335
2016-10-25,"SPY",66542300,195.551941
2016-10-26,"SPY",75705500,195.159317
2016-10-27,"SPY",77220200,194.63884
2016-10-28,"SPY",140623200,194.063629
2016-10-31,"SPY",61272500,194.072784
2016-11-01,"SPY",122781800,192.666626
2016-11-02,"SPY",103330800,191.507034
2016-11-03,"SPY",88939300,190.630493
2016-11-04,"SPY",109122100,190.420486
2016-11-07,"SPY",109794900,194.620605
2016-11-08,"SPY",106772100,195.497131
2016-11-09,"SPY",258429000,197.569855
2016-11-10,"SPY",172113300,198.062866
2016-11-11,"SPY",100552700,197.606308
2016-11-14,"SPY",94580000,197.761581
2016-11-15,"SPY",91652600,199.304642
2016-11-16,"SPY",65617700,198.930267
2016-11-17,"SPY",69797200,199.952927
2016-11-18,"SPY",86265800,199.505508
2016-11-21,"SPY",72402600,201.01207
2016-11-22,"SPY",67429000,201.404724
2016-11-23,"SPY",56620200,201.514236
2016-11-25,"SPY",37872300,202.263
2016-11-28,"SPY",76572500,201.3134
2016-11-29,"SPY",69886700,201.705994
2016-11-30,"SPY",113291800,201.222076
2016-12-01,"SPY",79040500,200.482513
2016-12-02,"SPY",74840300,200.582947
2016-12-05,"SPY",67837800,201.788208
2016-12-06,"SPY",59877400,202.427322
2016-12-07,"SPY",110738100,205.075226
2016-12-08,"SPY",99714400,205.577408
2016-12-09,"SPY",88005800,206.819199
2016-12-12,"SPY",102016100,206.581818
2016-12-13,"SPY",110477500,207.960541
